City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,hammerfest,70.6634,23.6821,-2.75,59,75,6.17,NO,1682118360
241,olonkinbyen,70.9221,-8.7187,-4.23,59,33,4.46,SJ,1682118361
242,bonthe,7.5264,-12.505,27.1,78,100,3.86,SL,1682118361
243,miura,35.14,139.6192,15.0,63,100,7.02,JP,1682118361
244,lihue,21.9789,-159.3672,27.08,78,20,4.12,US,1682118361
245,sitka,57.0531,-135.33,12.94,38,75,4.63,US,1682118361
246,kodiak,57.79,-152.4072,6.14,66,0,2.87,US,1682118135
247,paita,-5.0892,-81.1144,26.16,81,100,4.06,PE,1682118361
248,nova sintra,14.8667,-24.7167,19.81,76,14,6.28,CV,1682118362
249,moscow,55.7522,37.6156,9.24,66,22,3.11,RU,1682118112
250,taro,-8.3862,115.28,23.0,95,93,0.69,ID,1682118363
251,pudozh,61.8099,36.5345,1.7,98,88,0.25,RU,1682118363
252,vila franca do campo,37.7167,-25.4333,16.23,89,75,6.12,PT,1682118363
253,mount pearl,47.5166,-52.7813,1.85,96,100,10.29,CA,1682118364
254,coruripe,-10.1256,-36.1756,25.91,81,4,4.44,BR,1682118364
255,pathein,16.7833,94.7333,27.97,68,63,2.5,MM,1682118364
256,arendal,58.4615,8.7725,2.89,55,11,1.27,NO,1682118364
257,christchurch,-43.5333,172.6333,16.29,93,100,2.57,NZ,1682118254
258,ormara,25.2088,64.6357,25.85,83,0,5.92,PK,1682118365
259,alaghsas,17.0187,8.0168,30.82,12,0,3.76,NE,1682118365
260,vadakku viravanallur,8.7,77.5333,27.54,78,50,2.56,IN,1682118365
261,goundi,9.3627,17.366,30.97,40,92,2.62,TD,1682118365
262,udachny,66.4167,112.4,-10.15,95,100,1.98,RU,1682118366
263,rizokarpaso,35.6,34.375,16.3,76,6,2.65,CY,1682118366
264,sydney mines,46.2367,-60.2177,6.01,82,20,6.71,CA,1682118366
265,khandyga,62.6667,135.6,-1.6,87,100,0.62,RU,1682118367
266,dudinka,69.4058,86.1778,-5.21,84,99,7.01,RU,1682118367
267,mongo,12.1844,18.693,32.23,22,38,2.7,TD,1682118367
268,yokadouma,3.5167,15.05,20.95,99,100,0.86,CM,1682118368
269,pala,9.3642,14.9046,30.77,35,100,1.91,TD,1682118368
270,vernon,50.2581,-119.2691,13.5,46,97,1.34,CA,1682118368
271,zaozersk,69.4005,32.4476,-3.23,96,100,3.13,RU,1682118270
272,padang,-0.9492,100.3543,23.03,88,99,1.72,ID,1682118370
273,broken hill,-31.95,141.4333,15.79,60,0,5.17,AU,1682118233
274,childress,34.4264,-100.204,21.62,11,70,2.37,US,1682118137
275,anloga,5.7947,0.8973,28.29,80,99,4.78,GH,1682118371
276,luganville,-15.5333,167.1667,29.03,74,59,4.15,VU,1682118371
277,labytnangi,66.6572,66.4183,-12.35,93,56,1.2,RU,1682118371
278,island harbour,50.724,-1.2758,5.52,91,3,0.45,GB,1682118372
279,poli,-3.3333,36.8,16.43,95,100,1.69,TZ,1682118372
280,griffith,41.5284,-87.4237,17.19,45,75,6.17,US,1682118372
281,dalby,-27.1833,151.2667,19.43,58,0,6.72,AU,1682118373
282,lagoa,39.05,-27.9833,15.69,91,50,11.3,PT,1682118193
283,bolobo,-2.1667,16.2333,21.58,94,100,0.92,CD,1682118374
284,arteche,12.2645,125.4048,27.73,78,82,1.27,PH,1682118374
285,egilsstadir,65.2653,-14.3948,-1.05,86,100,6.69,IS,1682118374
